phrase_norm,phrase,lang,count,source,provenance,count_basis
nu uitați să dați like să lăsați un comentariu și să distribuiți acest material video pe alte rețele sociale,"Nu uitați să dați like, să lăsați un comentariu și să distribuiți acest material video pe alte rețele sociale",ro,5936,granary,observed,observed
děkujeme,děkujeme,cs,5524,granary|hf_noise,observed,observed
aš,Aš,lt,5109,granary,observed,observed
hvala vse,Hvala vse,sl,5016,granary,observed,observed
so,so,en,4615,agh_full|hf_noise,observed,observed
kiitos,Kiitos,et,4342,granary,observed,observed
¡gracias,¡Gracias,es,4042,granary,observed,observed
vi,Vi,da,4039,granary,observed,observed
hvala se,Hvala se,sl,3981,granary,observed,observed
see,See,et,3830,granary,observed,observed
vi,Vi,sv,3767,granary,observed,observed
danske tekster af jesper buhl,Danske tekster af Jesper Buhl,da,3586,granary,observed,observed
¿qué,¿Qué,es,3549,granary,observed,observed
hvorfor er det,Hvorfor er det,da,3529,granary,observed,observed
mulțumesc frumos,Mulțumesc frumos,ro,3477,granary,observed,observed
paldies,Paldies,et,3448,granary,observed,observed
labai,Labai,lt,3331,granary,observed,observed
paldies,paldies,lv,3223,granary|hf_noise,observed,observed
the,the,en,3032,agh_full|hf_noise|mined:turbo|v2|v2|v3|mined:v2,observed,observed
от,От,bg,2988,granary,observed,observed
you,you,en,2970,agh_full|granary|hf_noise|mined:turbo|v2|v2|v3|mined:turbo|v2|v2|v3,observed,observed
je vous remercie,Je vous remercie,fr,2838,granary,observed,observed
le président et m,le Président et M,fr,2797,granary,observed,observed
nej,Nej,sv,2753,granary,observed,observed
što pratite kanal,što pratite kanal,sl,2746,granary,observed,observed
što pratite kanal,što pratite kanal,hr,2739,granary,observed,observed
konec,Konec,sk,2653,granary,observed,observed
něěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěě�,NĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚ�,mt,2605,granary,observed,observed
dabarėjome,Dabarėjome,lt,2541,granary,observed,observed
– dėkis,– Dėkis,lt,2516,granary,observed,observed
hvala što pratite,Hvala što pratite,mt,2486,granary,observed,observed
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2461,granary,observed,observed
pentru vizionare,pentru vizionare,ro,2460,granary,observed,observed
chao,Chao,es,2450,granary,observed,observed
¿qué es lo que se hace,¿Qué es lo que se hace,es,2450,granary,observed,observed
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2425,granary,observed,observed
dabarėjus,Dabarėjus,lt,2371,granary,observed,observed
hvala što pratite,Hvala što pratite,hr,2366,granary,observed,observed
vizionare,vizionare,ro,2350,granary,observed,observed
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2302,granary,observed,observed
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2288,granary,observed,observed
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2270,granary,observed,observed
dabarėjimą,Dabarėjimą,lt,2253,granary,observed,observed
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2244,granary,observed,observed
